Question,Question_Title,Answer,Justification,Guidelines,Review,Score
Do the main claims made in the abstract and introduction accurately reflect the paper's contributions and scope?,Claims,Yes,"We provide a list of contributions in the introduction that describes well our contributions. Additionally, the abstract summarizes well the paper as a whole.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the abstract and introduction do not include the claims made in the paper.
The abstract and/or introduction should clearly state the claims made, including the contributions made in the paper and important assumptions and limitations. A No or NA answer to this question will not be perceived well by the reviewers. 
The claims made should match theoretical and experimental results, and reflect how much the results can be expected to generalize to other settings. 
It is fine to include aspirational goals as motivation as long as it is clear that these goals are not attained by the paper. 
","## Feedback on NeurIPS Checklist Answer

The authors' proposed answer and justification seem partially correct. While the introduction does list the contributions, the abstract could be further improved to more accurately reflect the paper's scope and contributions.

**Here are some actionable improvements:**

* **Quantify the dataset size in the abstract:** Instead of stating ""roughly 80,000,"" specify the exact number of annotated text-line images.
* **Highlight the novelty of the OOD test set in the abstract:**  Emphasize the significance of the 18th-century test set for evaluating model performance in a more realistic OOD scenario.
* **Mention the specific SOTA models used and their types in the abstract:** Instead of just stating ""SOTA OCR models,"" list the specific models (e.g., Transformer, attention, CTC-based) used for evaluation.
* **Outline the main findings regarding model performance in the abstract:** Briefly mention how the models performed on both the IID and OOD test sets, including the achievement of human-level performance on the 18th-century set and surpassing human performance on the IID set.

**",0.5
Does the paper discuss the limitations of the work performed by the authors?,Limitations,Yes,"We acknowledged in the annotation process that some annotators anonymously shared information, despite our efforts to ensure data confidentiality. Additionally, we acknowledge that our limited computational resources did not allow us to conduct extensive experiments. We also indicate some future work in the conclusion.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper has no limitation while the answer No means that the paper has limitations, but those are not discussed in the paper. 
The authors are encouraged to create a separate ""Limitations"" section in their paper.
The paper should point out any strong assumptions and how robust the results are to violations of these assumptions (e.g., independence assumptions, noiseless settings, model well-specification, asymptotic approximations only holding locally). The authors should reflect on how these assumptions might be violated in practice and what the implications would be.
The authors should reflect on the scope of the claims made, e.g., if the approach was only tested on a few datasets or with a few runs. In general, empirical results often depend on implicit assumptions, which should be articulated.
The authors should reflect on the factors that influence the performance of the approach. For example, a facial recognition algorithm may perform poorly when image resolution is low or images are taken in low lighting. Or a speech-to-text system might not be used reliably to provide closed captions for online lectures because it fails to handle technical jargon.
The authors should discuss the computational efficiency of the proposed algorithms and how they scale with dataset size.
If applicable, the authors should discuss possible limitations of their approach to address problems of privacy and fairness.
While the authors might fear that complete honesty about limitations might be used by reviewers as grounds for rejection, a worse outcome might be that reviewers discover limitations that aren't acknowledged in the paper. The authors should use their best judgment and recognize that individual actions in favor of transparency play an important role in developing norms that preserve the integrity of the community. Reviewers will be specifically instructed to not penalize honesty concerning limitations.
","## Feedback on Limitations Discussion

The provided ""Justification"" mentions three aspects: annotator information sharing, limited computational resources, and future work. However, it does not comprehensively address the guidelines for discussing limitations.

Here's how to improve the paper's discussion of limitations:

* **Create a dedicated “Limitations” section:** This will provide a clear space to elaborate on the limitations without disrupting the flow of other sections. 
* **Expand on computational limitations:** Discuss the training time, inference speed, and scalability of the models, especially in relation to dataset size. Compare the computational efficiency of different models.
* **Analyze error patterns:** Discuss the types of errors the models make (insertions, deletions, substitutions) and in what context they occur. Relate this to specific challenges of the Ethiopic script (diacritics, similar characters).
* **Address data limitations:** Discuss the potential bias introduced by the data collection process and the limitations of using synthetic data for underrepresented characters. 
* **Generalizability:** Reflect on the scope of the claims and the applicability of the results to different types of manuscripts or writing styles. Discuss potential performance variations due to factors like image quality, script variations, or document layout.  

**",0
"For each theoretical result, does the paper provide the full set of assumptions and a complete (and correct) proof?",Theoritical assumptions and proofs,Not Applicable,Our paper does not include any theory.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include theoretical results. 
All the theorems, formulas, and proofs in the paper should be numbered and cross-referenced.
All assumptions should be clearly stated or referenced in the statement of any theorems.
The proofs can either appear in the main paper or the supplemental material, but if they appear in the supplemental material, the authors are encouraged to provide a short proof sketch to provide intuition. 
Inversely, any informal proof provided in the core of the paper should be complemented by formal proofs provided in appendix or supplemental material.
Theorems and Lemmas that the proof relies upon should be properly referenced. 
","## Feedback on NeurIPS Checklist Answer

The author's proposed answer of ""NA"" with the justification ""Our paper does not include any theory"" is **correct and aligns with the paper's content and the guidelines**. The paper focuses on introducing a new dataset for Ethiopic OCR and evaluating baseline models, with no theoretical results presented.

However, there are opportunities to improve the paper's clarity and completeness regarding related aspects:

*   **Mention the Absence of Theoretical Results:** While the ""Answer"" is correct, consider briefly mentioning in the ""Related Work"" or ""Conclusion"" sections that the paper focuses on empirical evaluation and dataset creation without delving into theoretical contributions. This would provide context for readers specifically interested in theoretical advancements in Ethiopic OCR.
*   **Dataset Creation Details:** Elaborate on the selection process for the manuscripts used in the dataset. Explain how the documents were chosen and what criteria were considered (e.g., representativeness, diversity of writing styles, historical periods).

## Score

**",1
Does the paper fully disclose all the information needed to reproduce the main experimental results of the paper to the extent that it affects the main claims and/or conclusions of the paper (regardless of whether the code and data are provided or not)?,Experiments reproducibility,Yes,We provide in Section 3.2 the settings for human-level performance and baseline models. In section 4.2 we provide the settings for the Baseline OCR models.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
If the paper includes experiments, a No answer to this question will not be perceived well by the reviewers: Making the paper reproducible is important, regardless of whether the code and data are provided or not.
If the contribution is a dataset and/or model, the authors should describe the steps taken to make their results reproducible or verifiable. 
Depending on the contribution, reproducibility can be accomplished in various ways. For example, if the contribution is a novel architecture, describing the architecture fully might suffice, or if the contribution is a specific model and empirical evaluation, it may be necessary to either make it possible for others to replicate the model with the same dataset, or provide access to the model. In general. releasing code and data is often one good way to accomplish this, but reproducibility can also be provided via detailed instructions for how to replicate the results, access to a hosted model (e.g., in the case of a large language model), releasing of a model checkpoint, or other means that are appropriate to the research performed.
While NeurIPS does not require releasing code, the conference does require all submissions to provide some reasonable avenue for reproducibility, which may depend on the nature of the contribution. For example
    - If the contribution is primarily a new algorithm, the paper should make it clear how to reproduce that algorithm.
    - If the contribution is primarily a new model architecture, the paper should describe the architecture clearly and fully.
    - If the contribution is a new model (e.g., a large language model), then there should either be a way to access this model for reproducing the results or a way to reproduce the model (e.g., with an open-source dataset or instructions for how to construct the dataset).
    - We recognize that reproducibility may be tricky in some cases, in which case authors are welcome to describe the particular way they provide for reproducibility. In the case of closed-source models, it may be that access to the model is limited in some way (e.g., to registered users), but it should be possible for other researchers to have some path to reproducing or verifying the results.

","## Feedback on Reproducibility Disclosure:

* **Missing Model Details:**  While Section 3.2 mentions using ""state-of-the-art Transformer, attention, and Connectionist Temporal Classification (CTC)-based methods,"" it lacks specifics about the architecture and hyperparameters of these models.  This information is crucial for researchers attempting to replicate the results.

* **Missing Training Details:** The paper mentions using Bayesian optimization for hyperparameter tuning but doesn't specify the search space or final hyperparameter values. Additionally, details like optimizer, learning rate scheduler, and data augmentation techniques are missing.

* **Code Availability:** Although the paper claims code is available at a GitHub repository, it would be beneficial to explicitly mention the specific files containing the training and evaluation scripts within that repository.

## Recommendations for Improvement:

1. **Detailed Model Architectures:** Clearly describe the architecture of each model, including the number of layers, hidden units, activation functions, and any other relevant details. 
2. **Hyperparameter Settings:** Provide a table listing the final hyperparameter values for each model after Bayesian optimization.
3. **Training Protocol:** Describe the training process in detail, including optimizer used, learning rate schedule, data augmentation techniques, and training duration.
4. **Code Organization:** In the paper and README of the GitHub repository, clearly point to the specific scripts for training and evaluating each model.

**",0.5
"Does the paper provide open access to the data and code, with sufficient instructions to faithfully reproduce the main experimental results, as described in supplemental material?",Code and data accessibility,Yes,"We provide the description about the dataset and the open-source implementation details at https://github.com/ethopic/hhd-ethiopic-I. Users can reproduce the results by following the information provided at this link. Furthermore, detailed information about the Ethiopic writing system and data collection procedures can be found in the appendix section of this paper. In addition, the dataset datasheet is provided as supplementary material.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that paper does not include experiments requiring code.
Please see the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
While we encourage the release of code and data, we understand that this might not be possible, so “No” is an acceptable answer. Papers cannot be rejected simply for not including code, unless this is central to the contribution (e.g., for a new open-source benchmark).
The instructions should contain the exact command and environment needed to run to reproduce the results. See the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
The authors should provide instructions on data access and preparation, including how to access the raw data, preprocessed data, intermediate data, and generated data, etc.
The authors should provide scripts to reproduce all experimental results for the new proposed method and baselines. If only a subset of experiments are reproducible, they should state which ones are omitted from the script and why.
At submission time, to preserve anonymity, the authors should release anonymized versions (if applicable).
Providing as much information as possible in supplemental material (appended to the paper) is recommended, but including URLs to data and code is permitted.
","## Feedback on NeurIPS Checklist Answer

The authors' proposed answer and justification are mostly accurate but require some improvements for clarity and completeness. 

**Discrepancies/Issues:**

* **Exact commands and environment:** The justification mentions providing implementation details but doesn't explicitly state whether it includes the exact commands and environment setup necessary to reproduce the results.
* **Data access and preparation:** While the justification mentions the dataset description and datasheets, it lacks specific details on accessing the raw data, preprocessed data, and any intermediate or generated data used in the experiments.
* **Reproducibility of baselines:**  The justification focuses on reproducing the proposed method's results but doesn't clarify whether scripts for reproducing the baseline models are included. 

**Actionable Feedback:**

1. **Clarify reproducibility instructions:** In the justification, explicitly state if the provided code includes the exact commands and required environment setup to run the code and reproduce the main experimental results. If not, consider adding a separate document with detailed instructions.
2. **Detail data access and preparation:**  Expand the justification to describe how users can access and prepare the data for running the code. This includes information on accessing the raw data, preprocessed data, and any intermediate files. 
3. **Address baseline reproducibility:**  Clarify whether the provided code allows for reproducing the baseline results. If so, mention it in the justification. If only some baselines are reproducible, explain which ones are included and why others are omitted.

**",0.5
"Does the paper specify all the training and test details (e.g., data splits, hyperparameters, how they were chosen, type of optimizer, etc.) necessary to understand the results?",Experimental settings/details,Yes,All the details are provided in Section 4.2.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The experimental setting should be presented in the core of the paper to a level of detail that is necessary to appreciate the results and make sense of them.
The full details can be provided either with the code, in appendix, or as supplemental material.
","## Feedback on NeurIPS Paper Checklist Answer

**Discrepancies:**

*   The justification states that all training and test details are in Section 4.2. However, Section 4.2 primarily focuses on human-level performance and baseline model results. 
*   While the paper mentions the dataset split and the use of Bayesian optimization for hyperparameter tuning, it lacks specific details about the chosen hyperparameters, optimizer type, and other training configurations (e.g., learning rate, batch size, epoch number).

**Actionable Feedback:**

1.  **Expand Section 4.2 or create a dedicated section**: Clearly present the training process details, including:
    *   Optimizer type and its configuration (e.g., Adam with learning rate decay).
    *   Hyperparameters chosen through Bayesian Optimization and their final values.
    *   Training duration (number of epochs) and early stopping criteria if applicable. 
    *   Data augmentation techniques employed, if any.
2.  **Improve clarity and organization**: Consider using tables or bullet points to present hyperparameters and training configurations for better readability.

**",0.5
Does the paper report error bars suitably and correctly defined or other appropriate information about the statistical significance of the experiments?,Error bars,Yes,We provide box-whiskers plots in Figure 5.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The authors should answer ""Yes"" if the results are accompanied by error bars, confidence intervals, or statistical significance tests, at least for the experiments that support the main claims of the paper.
The factors of variability that the error bars are capturing should be clearly stated (for example, train/test split, initialization, random drawing of some parameter, or overall run with given experimental conditions).
The method for calculating the error bars should be explained (closed form formula, call to a library function, bootstrap, etc.)
The assumptions made should be given (e.g., Normally distributed errors).
It should be clear whether the error bar is the standard deviation or the standard error of the mean.
It is OK to report 1-sigma error bars, but one should state it. The authors should preferably report a 2-sigma error bar than state that they have a 96% CI, if the hypothesis of Normality of errors is not verified.
For asymmetric distributions, the authors should be careful not to show in tables or figures symmetric error bars that would yield results that are out of range (e.g. negative error rates).
If error bars are reported in tables or plots, The authors should explain in the text how they were calculated and reference the corresponding figures or tables in the text.
","## Feedback on Error Bar Reporting

The author's proposed answer and justification are not aligned with the paper's content and the guidelines. While Figure 5 does present box-whiskers plots, these **do not necessarily represent error bars or convey information about statistical significance**. 

Here's how to improve the paper:

*   **Clarify the meaning of the box plots:** Explain what the boxes and whiskers represent (e.g., interquartile range, range, median). If they are intended as error bars, explicitly state this and define the specific type of error bar (e.g., standard deviation, standard error). 
*   **Explain the method for calculating the error bars:** If applicable, describe the formula or library function used. If bootstrapping was employed, explain the procedure.
*   **State the assumptions made:** For example, mention if the analysis assumes normally distributed errors. 
*   **Report confidence intervals or p-values:** If appropriate, provide confidence intervals for the reported metrics or p-values from statistical tests to demonstrate the significance of the results.
*   **Address the variability factors:** Describe the sources of variability captured by the error bars, such as train/test splits, initialization, or random parameter draws.
*   **Discuss the limitations of the analysis:**  Acknowledge any limitations due to the lack of extensive statistical analysis. 

**",0
"For each experiment, does the paper provide sufficient information on the computer resources (type of compute workers, memory, time of execution) needed to reproduce the experiments?",Compute resources,Yes,All details are provided in the experimental section.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The paper should indicate the type of compute workers CPU or GPU, internal cluster, or cloud provider, including relevant memory and storage.
The paper should provide the amount of compute required for each of the individual experimental runs as well as estimate the total compute. 
The paper should disclose whether the full research project required more compute than the experiments reported in the paper (e.g., preliminary or failed experiments that didn't make it into the paper). 
","## Feedback on NeurIPS Paper: Compute Resource Description

The author's proposed answer (""Yes"") and justification (""All details are provided in the experimental section"") are **inconsistent** with the actual paper content. The paper lacks specific details about the computer resources used for experiments, such as:

* **Type of compute workers:** The paper doesn't mention whether CPUs, GPUs, or both were used for training and evaluation.
* **Memory and storage:**  No information is provided on the memory capacity of the machines or the storage space required for the dataset and models. 
* **Execution time:** The paper doesn't quantify the time needed to run each experiment or the total compute time for the entire project.
* **Compute disclosure:**  It's unclear whether the reported experiments represent the full computational cost or if additional experiments were conducted but not included in the paper.

### Actionable improvements:

1. **Specify compute worker type:** Clearly state whether CPUs, GPUs, or a combination were used, including the specific models (e.g., NVIDIA RTX A6000).
2. **Quantify resources:**  Report the memory capacity and storage requirements for the dataset and trained models.
3. **Report execution time:** Provide the execution time for individual experiment runs and estimate the total compute time for the project.
4. **Disclose additional compute:** Clarify whether the reported experiments encompass the entire computational cost or if additional, unreported experiments were conducted. 

These additions will significantly enhance the paper's reproducibility and allow readers to understand the computational demands of your research.

**",0
"Does the research conducted in the paper conform, in every respect, with the NeurIPS Code of Ethics https://neurips.cc/public/EthicsGuidelines?",NeurIPS code of ethics,Yes,The workers hired were compensated.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the authors have not reviewed the NeurIPS Code of Ethics.
If the authors answer No, they should explain the special circumstances that require a deviation from the Code of Ethics.
The authors should make sure to preserve anonymity (e.g., if there is a special consideration due to laws or regulations in their jurisdiction).
","## Feedback on NeurIPS Paper Checklist Answer

**Discrepancies:**

*   The justification provided (""The workers hired were compensated"") is insufficient and does not address the full scope of the NeurIPS Code of Ethics. 
*   The paper does not seem to discuss or reference the code of ethics in any section.

**Actionable Feedback:**

1.  **Thorough Review of Code of Ethics:**  The authors need to carefully review the NeurIPS Code of Ethics to ensure their research conforms to all aspects, not just compensation. 
2.  **Address Specific Ethical Considerations:**   Identify and discuss any potential ethical concerns related to data collection, participant involvement, model bias, or potential societal impact of the research. 
3.  **Transparency and Disclosure:** If there are any deviations from the code of ethics due to specific constraints, these should be clearly explained while preserving anonymity. 
4.  **Justification Revision:**  Rewrite the justification to provide specific references to sections of the paper where ethical considerations are addressed. If deviations occur, explain the circumstances with necessary details.

**",0
Does the paper discuss both potential positive societal impacts and negative societal impacts of the work performed?,Impacts,Yes,All potential impact is positive.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that there is no societal impact of the work performed.
If the authors answer NA or No, they should explain why their work has no societal impact or why the paper does not address societal impact.
Examples of negative societal impacts include potential malicious or unintended uses (e.g., disinformation, generating fake profiles, surveillance), fairness considerations (e.g., deployment of technologies that could make decisions that unfairly impact specific groups), privacy considerations, and security considerations.
The conference expects that many papers will be foundational research and not tied to particular applications, let alone deployments. However, if there is a direct path to any negative applications, the authors should point it out. For example, it is legitimate to point out that an improvement in the quality of generative models could be used to generate deepfakes for disinformation. On the other hand, it is not needed to point out that a generic algorithm for optimizing neural networks could enable people to train models that generate Deepfakes faster.
The authors should consider possible harms that could arise when the technology is being used as intended and functioning correctly, harms that could arise when the technology is being used as intended but gives incorrect results, and harms following from (intentional or unintentional) misuse of the technology.
If there are negative societal impacts, the authors could also discuss possible mitigation strategies (e.g., gated release of models, providing defenses in addition to attacks, mechanisms for monitoring misuse, mechanisms to monitor how a system learns from feedback over time, improving the efficiency and accessibility of ML).
","## Feedback on Societal Impact Discussion

The author's proposed answer (""Yes"") and justification (""All potential impact is positive"") are misaligned with the guidelines and the paper's content. 

Here's why:

* **Missing discussion**: The paper does not discuss potential societal impacts, neither positive nor negative. 
* **Unrealistic assumption**: Claiming ""all potential impact is positive"" is unrealistic and contradicts the guideline's expectation for a balanced discussion. 

Here's how to improve:

1. **Dedicate a section**: Add a section titled ""Societal Impact"" or similar, explicitly discussing potential implications of the work.
2. **Explore positive impacts**: Elaborate on how the HHD-Ethiopic dataset and improved Ethiopic OCR can benefit research areas like history, linguistics, and cultural heritage preservation.  
3. **Acknowledge potential risks**:  Discuss possible negative impacts, even if deemed unlikely. Consider areas like:
    * **Misuse**: Could the technology be used to create fake historical documents or manipulate information? 
    * **Bias**:  Does the dataset or model training process introduce any biases that could unfairly impact specific groups?
    * **Access and Equity**:  Are there any barriers to access or potential inequalities arising from the technology's implementation?

4. **Mitigation strategies (optional)**: If negative impacts are identified, propose possible mitigation strategies to address them.

**",0
