Question,Question_Title,Answer,Justification,Guidelines,Review,Score
Do the main claims made in the abstract and introduction accurately reflect the paper's contributions and scope?,Claims,Yes,The abstract and introduction clearly state the paper's main contributions and scope.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the abstract and introduction do not include the claims made in the paper.
The abstract and/or introduction should clearly state the claims made, including the contributions made in the paper and important assumptions and limitations. A No or NA answer to this question will not be perceived well by the reviewers. 
The claims made should match theoretical and experimental results, and reflect how much the results can be expected to generalize to other settings. 
It is fine to include aspirational goals as motivation as long as it is clear that these goals are not attained by the paper. 
","The authors' proposed answer and justification generally align with the contents of the paper; however, there's a noticeable lack of specificity in their justification. According to the guidelines, the authors are required to point to specific sections where related material can be found to substantiate their claims. While they assert that the abstract and introduction clearly state the paper's main contributions and scope, they fail to reference particular sections that elaborate on these points, which is pivotal for reviewers to efficiently verify these claims.

Feedback to improve the paper quality:
1. Specify Sections in Justification: Enhance the justification by precisely indicating the sections where the paper elaborates on its main claims, contributions, and scope. For instance, the authors could amend their justification to say, ""The paper's main contributions and scope are expanded upon in Sections 2 (Design of the First Round) and 3 (Analyses of the First Round Results), which detail the methodology and findings from applying our novel approach to meta-learning through Genetic Algorithms.""
2. Align Claims with Content: Ensure that all claims made in the abstract and introduction are directly reflected and supported in the paper's main body. If the introduction mentions a significant step forward in the field of meta-learning, the discussion or conclusion section should elaborate on why this is the case. If this is not currently done to a satisfactory level, the paper should be revised to either adjust the claims or add the necessary supporting arguments and evidence.
3. Clarify the Scope: If the paper’s scope is broader or narrower than what typical readers might infer from the abstract and introduction, clarify this within the introduction section. For instance, if the paper focuses on a specific subset of meta-learning strategies, explicitly stating so helps set the right expectations.
4. Contributions Listing: Consider adding a bullet-point list of contributions towards the end of the introduction for clearer visibility. This could help readers quickly grasp the paper's value proposition and how it advances the field.
5. Address Limitations: While the guidelines suggest that it's acceptable to include aspirational goals, ensure that any limitations or areas where these goals were not fully achieved are transparently discussed in the conclusion section. This honesty enhances the paper's credibility and helps guide future research.

Concluding, the paper would benefit significantly from explicitly linking its claims to specific sections that bolster these assertions, thereby making it easier for reviewers and readers to understand and evaluate the paper's contributions.

",0.5
Does the paper discuss the limitations of the work performed by the authors?,Limitations,Yes,"The limitations are discussed in the section “Lessons learned and new design"".","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper has no limitation while the answer No means that the paper has limitations, but those are not discussed in the paper. 
The authors are encouraged to create a separate ""Limitations"" section in their paper.
The paper should point out any strong assumptions and how robust the results are to violations of these assumptions (e.g., independence assumptions, noiseless settings, model well-specification, asymptotic approximations only holding locally). The authors should reflect on how these assumptions might be violated in practice and what the implications would be.
The authors should reflect on the scope of the claims made, e.g., if the approach was only tested on a few datasets or with a few runs. In general, empirical results often depend on implicit assumptions, which should be articulated.
The authors should reflect on the factors that influence the performance of the approach. For example, a facial recognition algorithm may perform poorly when image resolution is low or images are taken in low lighting. Or a speech-to-text system might not be used reliably to provide closed captions for online lectures because it fails to handle technical jargon.
The authors should discuss the computational efficiency of the proposed algorithms and how they scale with dataset size.
If applicable, the authors should discuss possible limitations of their approach to address problems of privacy and fairness.
While the authors might fear that complete honesty about limitations might be used by reviewers as grounds for rejection, a worse outcome might be that reviewers discover limitations that aren't acknowledged in the paper. The authors should use their best judgment and recognize that individual actions in favor of transparency play an important role in developing norms that preserve the integrity of the community. Reviewers will be specifically instructed to not penalize honesty concerning limitations.
","Upon reviewing the provided ""Paper"" against the specific ""Question"" regarding the discussion of the work's limitations, the authors have stated that they address the limitations of their work in the section titled “Lessons learned and new design.” After careful analysis of the paper, their claim holds true as they have identified specific limitations in their original challenge design and proposed adjustments for the new round of the challenge. However, it is crucial to evaluate whether their discussion fully adheres to the guidelines outlined for acknowledging limitations, which emphasize the importance of discussing strong assumptions, the robustness of results, the scope of claims, factors influencing performance, computational efficiency, and considerations of privacy and fairness if applicable.

Feedback to improve the paper quality based on the guidelines:

1. **Expand on Assumptions and Robustness**: While the paper discusses the limitations in the design of the challenge, it does not explicitly address the strong assumptions behind their methods or how robust their findings are to the violations of these assumptions. The authors might benefit from reflecting on any assumptions made in the meta-learning approach or in the evaluation metrics, and discuss their potential impact if proven invalid.

2. **Scope of Claims**: The paper would benefit from a more critical examination of the scope of its claims, especially concerning the generalizability of the findings beyond the datasets and algorithms tested in the challenge. Discussing the limitations related to the diversity of datasets and algorithms can help in tempering the claims made and setting proper expectations for the readers.

3. **Factors Influencing Performance**: The authors should delve deeper into the factors that influence the performance of their meta-learning approach. For instance, how might variations in dataset characteristics or algorithm hyperparameters affect the outcomes? Addressing these considerations can provide a fuller picture of the strengths and weaknesses of their approach.

4. **Computational Efficiency**: Although the paper mentions the computational resources used in the challenge, there is a lack of discussion regarding the computational efficiency of their meta-learning approach and its scalability. Including a discussion on this aspect could significantly enhance the understanding of the practical implications of their work, especially in terms of resource consumption and applicability to larger datasets.

5. **Address Limitations on Privacy and Fairness**: If applicable, the authors should consider any limitations their approach might have in terms of privacy and fairness. Even if these issues may not be directly relevant to their challenge, acknowledging their potential importance in the broader context of AI systems can contribute to a more comprehensive discussion of limitations.

By addressing these feedback points, the authors will be able to provide a more thorough and insightful discussion of the limitations of their work, in line with the best practices for scientific reporting. This will not only enhance the quality of the paper but also contribute positively to the transparency and integrity of the research process.

",0.5
"For each theoretical result, does the paper provide the full set of assumptions and a complete (and correct) proof?",Theoritical assumptions and proofs,Not Applicable,This paper does not include theoretical results.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include theoretical results. 
All the theorems, formulas, and proofs in the paper should be numbered and cross-referenced.
All assumptions should be clearly stated or referenced in the statement of any theorems.
The proofs can either appear in the main paper or the supplemental material, but if they appear in the supplemental material, the authors are encouraged to provide a short proof sketch to provide intuition. 
Inversely, any informal proof provided in the core of the paper should be complemented by formal proofs provided in appendix or supplemental material.
Theorems and Lemmas that the proof relies upon should be properly referenced. 
","The author's proposed answer to the question about including full sets of assumptions and complete proofs for each theoretical result by stating ""NA"" as their response, with the justification that the paper does not include theoretical results, presents a discrepancy. Upon review of the paper content, the paper indeed embarks on presenting a new approach to meta-learning through Genetic Algorithms, emphasizing an empirical analysis related to optimizing algorithm selection based on performance trajectories. This primarily involves experimentation and analysis rather than theorem-proving or theoretical development in the traditional mathematical sense.

Given the nature and content of the paper, which is focused on empirical meta-learning challenges, design iterations, and the application of various strategies for algorithm selection and budget allocation without delving into the formulation and proof of new theoretical results, the author's response aligns with the content and scope of the paper.

**Actionable Feedback:**

1. **Clarify Empirical Focus:** Reinforce in the introduction or methodology sections that the research emphasis is on empirical exploration and analysis. This clarification will preemptively address expectations related to theoretical contributions.

2. **Explicit Statement:** To avoid potential ambiguity, consider adding a brief explicit statement early in the paper noting the empirical nature of the work and specifying that it does not engage with theoretical model derivation or proof formulation. This will directly address the checklist question and prevent misinterpretation of the paper’s scope.

3. **Reference Relevant Work:** Even though the paper is empirically focused, if there are theoretical frameworks or assumptions underlying any part of the methodology, ensure these are briefly mentioned and correctly referenced. This acknowledges the theoretical underpinnings without requiring new proofs or derivations.

4. **Supplemental Materials:** If there are any theoretical aspects not fully explored in the paper due to its empirical focus, but which could enrich the understanding of your approach (e.g., a mathematical model describing the genetic algorithm's selection process), consider including these in the appendix or supplemental materials. This is optional but can be valuable for readers interested in the theoretical basis of empirical methodologies.

5. **Consistency Check:** Verify that all sections of the paper consistently reflect the empirical nature of the research. Any mention of ""results"" should clearly be contextualized as empirical findings rather than theoretical proofs, to maintain alignment with the answer provided to the checklist question.

These improvements should help better position the paper within its empirical research domain and ensure that readers clearly understand the nature of its contributions without expecting theoretical results that the paper does not aim to provide.

**",1
Does the paper fully disclose all the information needed to reproduce the main experimental results of the paper to the extent that it affects the main claims and/or conclusions of the paper (regardless of whether the code and data are provided or not)?,Experiments reproducibility,Yes,Code URLs and all information needed to reproduce the experimental results are given.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
If the paper includes experiments, a No answer to this question will not be perceived well by the reviewers: Making the paper reproducible is important, regardless of whether the code and data are provided or not.
If the contribution is a dataset and/or model, the authors should describe the steps taken to make their results reproducible or verifiable. 
Depending on the contribution, reproducibility can be accomplished in various ways. For example, if the contribution is a novel architecture, describing the architecture fully might suffice, or if the contribution is a specific model and empirical evaluation, it may be necessary to either make it possible for others to replicate the model with the same dataset, or provide access to the model. In general. releasing code and data is often one good way to accomplish this, but reproducibility can also be provided via detailed instructions for how to replicate the results, access to a hosted model (e.g., in the case of a large language model), releasing of a model checkpoint, or other means that are appropriate to the research performed.
While NeurIPS does not require releasing code, the conference does require all submissions to provide some reasonable avenue for reproducibility, which may depend on the nature of the contribution. For example
    - If the contribution is primarily a new algorithm, the paper should make it clear how to reproduce that algorithm.
    - If the contribution is primarily a new model architecture, the paper should describe the architecture clearly and fully.
    - If the contribution is a new model (e.g., a large language model), then there should either be a way to access this model for reproducing the results or a way to reproduce the model (e.g., with an open-source dataset or instructions for how to construct the dataset).
    - We recognize that reproducibility may be tricky in some cases, in which case authors are welcome to describe the particular way they provide for reproducibility. In the case of closed-source models, it may be that access to the model is limited in some way (e.g., to registered users), but it should be possible for other researchers to have some path to reproducing or verifying the results.

","Based on the detailed overview of the ""Paper"" provided, the authors claim to have fully disclosed all the information needed to reproduce the main experimental results seems plausible. Yet, the authors' justification in their answer does not precisely point to specific sections where detailed reproducibility information, such as exact parameter settings, software versions, and detailed experimental setup instructions, can be found. The provided text describes the design of the challenge, the algorithms used, and some results, but it does not explicitly detail the reproducibility aspect across its sections.

Feedback to Improve Paper Quality:
1. **Explicit Reproducibility Section**: Include a dedicated section or subsection titled ""Reproducibility"" that clearly outlines all necessary details for reproducing the main experiments, such as exact configurations, hyperparameters, software versions, and any hardware specifications required.

2. **Parameter Details in Experiments Section**: In the sections describing the experiments (Sections 2 and 3, as per the structure highlighted in the text), ensure to include detailed parameter settings for each algorithm tested, including any random seed values used to facilitate exact replication.

3. **Data Availability Statement**: Enhance the details regarding the availability of datasets used in the study. If any datasets are proprietary or have use restrictions, provide clear guidance on how researchers can request access or alternative means to verify the findings.

4. **Code Availability and Execution Details**: While URLs to code are mentioned, ensure these links are accompanied by instructions on how to run the code to replicate the experiments. This includes environment setup, dependency installations, and execution steps. Include version controls for external libraries or frameworks used.

5. **Fulfilling NeurIPS Guidelines**: Cross-check the reproducibility section against the NeurIPS guidelines on ensuring reproducibility and verifiability of results. Make certain that the paper adheres not just in spirit but in letter to these guidelines.

6. **Appendix Inclusion for Extended Details**: For any reproducibility details that are too voluminous to include in the main body of the paper without disrupting the flow, utilize appendices. This can include extended tables of parameters, additional figures from reproducibility tests, or even pseudocode for complex methodological steps not fully detailed in the main text sections.

Conclusively, ensuring that these improvements are implemented would significantly elevate the paper's adherence to reproducibility standards, making it easier for peers to verify and build upon the work.

",0.5
"Does the paper provide open access to the data and code, with sufficient instructions to faithfully reproduce the main experimental results, as described in supplemental material?",Code and data accessibility,No,"The code for reproducibility is given, however, some data is saved private for longer benchmark.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that paper does not include experiments requiring code.
Please see the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
While we encourage the release of code and data, we understand that this might not be possible, so “No” is an acceptable answer. Papers cannot be rejected simply for not including code, unless this is central to the contribution (e.g., for a new open-source benchmark).
The instructions should contain the exact command and environment needed to run to reproduce the results. See the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
The authors should provide instructions on data access and preparation, including how to access the raw data, preprocessed data, intermediate data, and generated data, etc.
The authors should provide scripts to reproduce all experimental results for the new proposed method and baselines. If only a subset of experiments are reproducible, they should state which ones are omitted from the script and why.
At submission time, to preserve anonymity, the authors should release anonymized versions (if applicable).
Providing as much information as possible in supplemental material (appended to the paper) is recommended, but including URLs to data and code is permitted.
","The authors' answer to the checklist question regarding providing open access to data and code with sufficient instructions to reproducibly reproduce the main experimental results is ""No."" The justification states that while code for reproducibility is provided, some data remains private for benchmarking purposes. This response aligns with the NeurIPS guidelines, which allow for a ""No"" answer with proper justification (e.g., restrictions on data sharing).

Based on the guidelines and the content of the paper, the following actionable feedback aims to improve the overall quality and comply with NeurIPS submission requirements:

1. **Detailed Reproducibility Instructions**: Ensure that the supplemental material or an appendix in the paper includes detailed instructions on how to use the provided code to reproduce the experiments. This includes specifying the required software environment, dependencies, and exact commands to run the experiments. If specific datasets are private, provide sample or synthetic data and detailed instructions on how the data format is structured so researchers can generate or use alternative datasets.

2. **Explanation of Data Privacy**: Elaborate on the reasons for keeping some datasets private. If the privacy is due to ethical considerations, proprietary constraints, or ongoing benchmarking efforts, clarify these points. Providing a rationale helps the community understand the constraints and fosters trust in the research methodology.

3. **Alternative Access Options**: If possible, offer a mechanism for researchers to request access to the private data under specific conditions, e.g., a data usage agreement. This could potentially increase the impact of the work by allowing other researchers to more deeply engage with the research findings.

4. **Mock Data or Synthetic Data**: To aid in reproducibility, consider providing synthetic or sample data that mimic the characteristics of the private datasets. This allows other researchers to test the methods and understand the data requirements. Include a detailed comparison of how the synthetic data relates to the real data in terms of structure, domain, and statistical properties.

5. **Detailed Description of Data and Code Availability**: Clearly state the location of the public code repository in the paper, including any anonymized links per NeurIPS guidelines for double-blind review. Ensure the repository includes a detailed README with setup and execution instructions, license information for code reuse, and any necessary citations for the datasets used.

6. **Clarification on Benchmarked Results**: For experiments that cannot be fully reproduced due to the absence of certain datasets, provide a thorough analysis and discussion of the available results. Include detailed explanations of how these results can be interpreted and to what extent they can be generalized or expected to hold on other similar datasets.

7. **Engagement with the Community**: Encourage the community to engage with the available code and data by providing clear channels for feedback, such as issue tracking in the code repository or a project mailing list. This fosters a collaborative environment where improvements and reproductions can be collectively discussed.

",0.5
"Does the paper specify all the training and test details (e.g., data splits, hyperparameters, how they were chosen, type of optimizer, etc.) necessary to understand the results?",Experimental settings/details,Yes,"These details are given in the section of “Challenge protocol"", as well as the public participant code.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The experimental setting should be presented in the core of the paper to a level of detail that is necessary to appreciate the results and make sense of them.
The full details can be provided either with the code, in appendix, or as supplemental material.
","The authors' proposed answer indicates a ""Yes"" regarding the specification of all training and test details necessary to understand the results. However, the justification provided does not fully substantiate this claim. The authors refer to the ""Challenge protocol"" section and public participant code for the details but fail to mention explicit sections detailing hyperparameter choices, type of optimizer, or how these were chosen, which are crucial to fulfill the NeurIPS guidelines for complete reporting of experimental methodologies.

**Feedback for Improvement:**

1. **Detailed Hyperparameter Reporting**: Ensure to explicitly list all hyperparameters used in the experiments, including those for the Genetic Algorithms mentioned, alongside their chosen values. If there are defaults, specify these and provide rationale for any deviations.

2. **Optimizer Specification**: Clarify the type of optimizer(s) used throughout the experiments. Include reasons for choosing these specific optimizers and how they affect the meta-learning approach.

3. **Rationale for Choices**: For hyperparameters, optimizers, and data splits, provide a detailed rationale behind their selection. If certain choices are empirical or based on previous literature, cite these sources. Where choices are made through experimentation, include a brief explanation or a reference to supplementary materials where these experiments are detailed.

4. **Data Splits Information**: The answer mentions that the data splits details are provided in the “Challenge protocol” section. To improve, ensure clear delineation of how training, validation, and test splits were made, ensuring reproducibility. If there are any unique considerations for your meta-learning setup (e.g., folds for cross-validation), these should be highlighted and justified.

5. **Supplementary Material**: If space constraints limit the extent of methodological exposition in the main paper body, utilize the supplementary material to provide a thorough breakdown of the experimental setup. This includes detailed tables or charts of hyperparameters, algorithmic adjustments over different datasets, and any additional experiments supporting your methodology choices.

6. **Code Clarity**: While referencing public participant code is useful, ensure that the code is well-documented, with comments explaining critical sections relevant to training and test setups. This aids in the translation of methodology from paper to practice.

7. **Preemptive Address of Potential Questions**: Anticipate and address potential questions readers might have about your experimental setup — for instance, the rationale behind the selection of certain datasets or why specific algorithms were chosen for comparison.

By addressing these feedback points, the paper can significantly improve in terms of transparency, reproducibility, and overall integrity of reported results, aligning better with NeurIPS guidelines.

**",0.5
Does the paper report error bars suitably and correctly defined or other appropriate information about the statistical significance of the experiments?,Error bars,No,We didn't explicitly discuss the error-bars.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The authors should answer ""Yes"" if the results are accompanied by error bars, confidence intervals, or statistical significance tests, at least for the experiments that support the main claims of the paper.
The factors of variability that the error bars are capturing should be clearly stated (for example, train/test split, initialization, random drawing of some parameter, or overall run with given experimental conditions).
The method for calculating the error bars should be explained (closed form formula, call to a library function, bootstrap, etc.)
The assumptions made should be given (e.g., Normally distributed errors).
It should be clear whether the error bar is the standard deviation or the standard error of the mean.
It is OK to report 1-sigma error bars, but one should state it. The authors should preferably report a 2-sigma error bar than state that they have a 96% CI, if the hypothesis of Normality of errors is not verified.
For asymmetric distributions, the authors should be careful not to show in tables or figures symmetric error bars that would yield results that are out of range (e.g. negative error rates).
If error bars are reported in tables or plots, The authors should explain in the text how they were calculated and reference the corresponding figures or tables in the text.
","The authors' proposed answer indicates a discrepancy from the ""Paper"" content as it pertains to the reporting of statistical significance of experiments. The authors' justification mentions that error-bars were not explicitly discussed, suggesting that no statistical measures of variability or significance were included. However, upon examining the paper content, several key points related to the statistical significance of the experiments become apparent:

1. In the section titled ""Analyses of the first round results,"" the paper reports ALC scores with accompanying standard deviations (e.g., ""0.43±0.01"") for the top methods. This indicates that some form of error measurement and variability indication is indeed reported.
2. The computation of the average ALC score and the standard deviation of ALC scores across datasets are mathematically outlined. This provides a methodological basis for assessing the variability of the results, directly challenging the authors' justification for their 'No' answer.
3. Given the reporting of standard deviations, it appears there has been an attempt to convey the statistical variation of the experiment results, which is in contradiction with the authors' proposed justification.

**Actionable Feedback:**

1. **Clarify Statistical Reporting:** The authors should revise the justification to accurately reflect the inclusion of standard deviations in the results. This corresponds to a form of error bar, which captures the variability of the results across different datasets.

2. **Expand on Statistical Significance Reporting:** While standard deviations are a step in the right direction, the authors could improve the paper by also including confidence intervals or conducting hypothesis tests to provide a clearer picture of the statistical significance of their results. This would align more closely with best practices in reporting experimental results.

3. **Clearly State the Factors of Variability:** The paper should explicitly mention the factors contributing to the variability captured by the reported standard deviations. Clarifying whether these factors include different train/test splits, algorithm initializations, or other conditions would enhance the reader's understanding of the results’ robustness.

4. **Discuss the Assumptions:** If the error bars (standard deviations) are used, the authors should discuss any assumptions made, such as the normality of errors. This is particularly important if the authors later consider expanding their statistical analysis to include confidence intervals or other measures that rely on specific distributional assumptions.

5. **Reference Error Bars in the Text:** To improve clarity, the authors should ensure that any mentions of variability, error bars, or statistical significance in the results sections are directly linked to the corresponding figures or tables where these are reported. This aids in reader comprehension and highlights the attention paid to statistical robustness.

By addressing these points, the paper would provide a clearer and more comprehensive account of the statistical significance and variability of the results, thereby improving its quality and alignment with the conference submission guidelines.

**",0.5
"For each experiment, does the paper provide sufficient information on the computer resources (type of compute workers, memory, time of execution) needed to reproduce the experiments?",Compute resources,No,"The compute resource is not explicitly discussed, we only gave the fact that the competition is running on Codabench platform, and all methods are imposed under a given time limit.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The paper should indicate the type of compute workers CPU or GPU, internal cluster, or cloud provider, including relevant memory and storage.
The paper should provide the amount of compute required for each of the individual experimental runs as well as estimate the total compute. 
The paper should disclose whether the full research project required more compute than the experiments reported in the paper (e.g., preliminary or failed experiments that didn't make it into the paper). 
","Feedback:

1. Clarify Compute Resources: The authors mention that all experiments were conducted on a cloud-based setup featuring ten NVIDIA Tesla V100 GPUs (Section 3), which slightly contradicts the initial ""No"" answer. This discrepancy needs addressing by updating the justification section of the checklist question to reflect this information accurately.

2. Detail Compute Usage Per Experiment: While the paper mentions the hardware used, it lacks detailed information on the compute resources required for each individual experimental run, such as memory usage, time of execution, and whether these resources vary across experiments. The authors should include these specifics to comply with the guidelines fully.

3. Estimate Total Compute: The paper does not provide an estimate of the total compute used, including for preliminary or failed experiments that didn't make it into the final paper. The authors should add a section estimating the total compute, adhering to the guideline that suggests disclosing if the full research project required more compute than the experiments reported.

4. Adding References to Sections: For better clarity and adherence to the guidelines, the authors should explicitly reference the section in the paper where the hardware specification is mentioned within their justification for the checklist question. This aids in navigating the paper and verifying the statements made in the justification.

5. Consideration for Failed Experiments: If applicable, the authors should disclose compute resources used in preliminary or failed experiments to provide a complete view of the computational expense incurred during the research project. This could be mentioned briefly in the paper or more detailed in an appendix.

Actionable Items:

- Revise the justification to accurately reflect the hardware information provided in the paper and ensure it addresses the checklist question directly.
- Add specifics on compute resources (CPU/GPU usage, memory, execution time) for each experiment.
- Estimate and disclose the total compute for the project, including preliminary or failed experiments.
- Reference the specific section(s) in the paper where the compute resources are discussed in the justification.
- Consider including information on computational resources used for preliminary or failed experiments as part of the disclosure.

",0.5
"Does the research conducted in the paper conform, in every respect, with the NeurIPS Code of Ethics https://neurips.cc/public/EthicsGuidelines?",NeurIPS code of ethics,Yes,We reviewed the code of ethics and our paper conforms with it.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the authors have not reviewed the NeurIPS Code of Ethics.
If the authors answer No, they should explain the special circumstances that require a deviation from the Code of Ethics.
The authors should make sure to preserve anonymity (e.g., if there is a special consideration due to laws or regulations in their jurisdiction).
","The Authors' Proposed Answer and Justification lack specificity and direct reference to the sections of the paper that would substantiate compliance with the NeurIPS Code of Ethics. According to the Guidelines, when answering ""Yes,"" the justification needs to point to specific sections where related material for the question can be found, which the provided justification fails to do.

### Actionable Feedback

1. **Specify Compliance**: Explicitly state in the justification the sections that demonstrate compliance with the NeurIPS Code of Ethics. For example, if there's a section discussing ethical considerations, fairness, transparency, or the societal impact of the work, these should be referenced.

2. **Ethical Considerations Section**: If not already included, add a dedicated ""Ethical Considerations"" section that discusses the direct implications of the paper's research on society, any potential for harm, how data was handled, secured, and any biases that were addressed or may still exist. This will provide a clear reference point for demonstrating ethical compliance.

3. **Data Privacy and Consent**: Make sure there is a clear reference to the section(s) discussing the handling of human data, if applicable, including privacy considerations and how consent was obtained. This is crucial for demonstrating adherence to ethical standards regarding human subjects.

4. **Societal Impact Discussion**: Ensure there is a specific section or statement regarding the societal impact of your research. This discussion should cover both the potential positive impacts and any negative consequences that could arise from the application of your research findings. Explicitly linking this discussion to the broader ethical guidelines will strengthen your paper’s compliance claim.

5. **Reproducibility and Transparency**: Confirm and make it explicit where in the paper you discuss efforts to ensure reproducibility and transparency, such as sharing code and data (when possible), and providing clear documentation of methodologies. This transparency is a key part of ethical research practices.

6. **AI Safety and Fairness**: If your research involves AI or machine learning models, include discussion around the safety and fairness of these models. This includes addressing potential biases in the models, the robustness of the models against adversarial attacks, and any measures taken to ensure the responsible use of AI.

7. **Review and Revise**: After adding or ensuring these sections are included and properly referenced, review the NeurIPS Code of Ethics again to ensure that no aspect has been overlooked. Compare each guideline with the relevant section of your paper to confirm compliance.

By meticulously addressing these points and making sure the paper clearly references specific sections that align with the NeurIPS Code of Ethics, the authors can significantly improve their justification for ethical compliance, thereby strengthening the overall quality of the paper.

**",0.5
Does the paper discuss both potential positive societal impacts and negative societal impacts of the work performed?,Impacts,Yes,"Our paper explores the domain of meta-learning, a collection of methodologies designed to rapidly identify the most effective algorithm for a given task. We discuss its positive social impact as it reduces human intervention and computational cost.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that there is no societal impact of the work performed.
If the authors answer NA or No, they should explain why their work has no societal impact or why the paper does not address societal impact.
Examples of negative societal impacts include potential malicious or unintended uses (e.g., disinformation, generating fake profiles, surveillance), fairness considerations (e.g., deployment of technologies that could make decisions that unfairly impact specific groups), privacy considerations, and security considerations.
The conference expects that many papers will be foundational research and not tied to particular applications, let alone deployments. However, if there is a direct path to any negative applications, the authors should point it out. For example, it is legitimate to point out that an improvement in the quality of generative models could be used to generate deepfakes for disinformation. On the other hand, it is not needed to point out that a generic algorithm for optimizing neural networks could enable people to train models that generate Deepfakes faster.
The authors should consider possible harms that could arise when the technology is being used as intended and functioning correctly, harms that could arise when the technology is being used as intended but gives incorrect results, and harms following from (intentional or unintentional) misuse of the technology.
If there are negative societal impacts, the authors could also discuss possible mitigation strategies (e.g., gated release of models, providing defenses in addition to attacks, mechanisms for monitoring misuse, mechanisms to monitor how a system learns from feedback over time, improving the efficiency and accessibility of ML).
","The authors' proposed answer states that both potential positive and negative societal impacts of meta-learning from learning curves are discussed. However, upon careful examination of the paper, while positive impacts such as reducing human intervention and computational costs are mentioned, there is a noticeable lack of discussion regarding potential negative societal impacts. This omission directly contrasts the guidelines that require addressing both aspects. 

### Actionable Feedback:

1. **Explicitly Address Negative Societal Impacts**: The paper should be revised to include a section that explicitly discusses the potential negative societal impacts of the presented meta-learning methodologies. Examples may include ethical considerations, the potential for job displacement, or how the technology might be misused.

2. **Refer to Guidelines for Negative Impacts**: Leverage the examples provided in the guidelines, such as potential malicious uses (e.g., AI-generated disinformation), fairness considerations, privacy, and security issues. This can serve as a starting point to enhance the discussion on negative societal impacts.

3. **Societal Impact Section Reference**: The justification in the checklist response does not point to specific sections where these discussions are located, as required by the guidelines. Once the negative impacts are addressed in the revision, ensure that the justification cites the exact sections where both positive and negative impacts are discussed.

4. **Mitigation Strategies**: Besides discussing potential negative impacts, consider incorporating a subsection that outlines possible mitigation strategies. This may include ethical AI practices, transparency in algorithmic decision-making, and safeguards against misuse.

5. **Broaden the Discussion on Societal Impacts**: Integrate a more comprehensive analysis of the societal implications, considering the technology's potential reach and impact on various demographics, especially underrepresented or marginalized groups.

Implementing these suggestions will not only align the paper with the conference guidelines but also enrich the discourse on the responsible development and deployment of meta-learning technologies. This holistic approach will likely make the paper more informative and impactful for a broader audience.

",0
