Question,Question_Title,Answer,Justification,Guidelines,Review,Score
Do the main claims made in the abstract and introduction accurately reflect the paper's contributions and scope?,Claims,Yes,The abstract and introduction clearly state the paper's main contributions and scope.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the abstract and introduction do not include the claims made in the paper.
The abstract and/or introduction should clearly state the claims made, including the contributions made in the paper and important assumptions and limitations. A No or NA answer to this question will not be perceived well by the reviewers. 
The claims made should match theoretical and experimental results, and reflect how much the results can be expected to generalize to other settings. 
It is fine to include aspirational goals as motivation as long as it is clear that these goals are not attained by the paper. 
","The proposed answer from the authors states that the main claims in the abstract and introduction accurately reflect the paper's contributions and scope. However, the justification provided by the authors does not specifically point to sections in the paper where these claims are directly supported or evidenced. This oversight does not align with the guidelines requiring clear references to specific sections substantiating the claims.

### Actionable Feedback:

1. **Directly Link Claims to Specific Sections:** Revise the justification to include explicit references to the sections of the paper where the main claims are discussed in detail. This could involve pointing out where in the paper the contributions of the AutoML challenge are enumerated, where detailed findings from the challenge are presented, and where the implications of these findings for future research are discussed.

2. **Clarify Scope and Contributions in the Abstract:** Ensure that the abstract clearly summarizes the key contributions and scope. If the abstract currently does not explicitly state the main findings from the AutoML challenge or how these findings advance the field of machine learning, consider revising for clarity and specificity.

3. **Enhance the Introduction for Better Context:** In the introduction, aside from covering the background, objectives, and the significance of the AutoML challenge, it would be helpful to briefly mention the paper's contributions to providing insights or lessons learned from the challenge. This sets the reader's expectations correctly for what is covered in the subsequent sections.

4. **Address Any Overstatements or Aspirational Goals:** If the paper includes aspirational goals or hypotheses as part of its claims, clarify in the introduction or abstract which specific goals were met and which remain aspirational. This ensures that claims accurately reflect the paper’s content and contribute to setting realistic expectations for the readers.

5. **Summarize Findings in the Conclusion:** Ensure that the concluding section of the paper clearly restates the paper’s main contributions and findings, aligning them with the claims made in the abstract and introduction. This helps reinforce how the paper's contents fulfill the initial promises made to the reader.

By implementing these improvements, the paper will be better aligned with the guidelines and ensure that the claims made in the abstract and introduction are accurately supported by the content within the specific sections of the document.

**",0.5
Does the paper discuss the limitations of the work performed by the authors?,Limitations,Yes,"The limitations are discussed in section ""Discussion: challenge and benchmark design""","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper has no limitation while the answer No means that the paper has limitations, but those are not discussed in the paper. 
The authors are encouraged to create a separate ""Limitations"" section in their paper.
The paper should point out any strong assumptions and how robust the results are to violations of these assumptions (e.g., independence assumptions, noiseless settings, model well-specification, asymptotic approximations only holding locally). The authors should reflect on how these assumptions might be violated in practice and what the implications would be.
The authors should reflect on the scope of the claims made, e.g., if the approach was only tested on a few datasets or with a few runs. In general, empirical results often depend on implicit assumptions, which should be articulated.
The authors should reflect on the factors that influence the performance of the approach. For example, a facial recognition algorithm may perform poorly when image resolution is low or images are taken in low lighting. Or a speech-to-text system might not be used reliably to provide closed captions for online lectures because it fails to handle technical jargon.
The authors should discuss the computational efficiency of the proposed algorithms and how they scale with dataset size.
If applicable, the authors should discuss possible limitations of their approach to address problems of privacy and fairness.
While the authors might fear that complete honesty about limitations might be used by reviewers as grounds for rejection, a worse outcome might be that reviewers discover limitations that aren't acknowledged in the paper. The authors should use their best judgment and recognize that individual actions in favor of transparency play an important role in developing norms that preserve the integrity of the community. Reviewers will be specifically instructed to not penalize honesty concerning limitations.
","The authors correctly state that the limitations are discussed in the section titled ""Discussion: challenge and benchmark design"". However, to fully align with the NeurIPS guidelines on discussing limitations, the paper should also cover assumptions made during the research, robustness to violations of these assumptions, the scope of the claims made, and factors influencing the performance of the proposed approach, among others. Based on the content provided, it is not clear if these aspects are fully covered in the mentioned section.

Itemized, actionable feedback for improvement:
- Ensure that the discussion of limitations includes a reflection on strong assumptions made during the research. Identify any assumptions about data distribution, feature representation, or computational resources that could limit the generalizability of the findings.
- Discuss the robustness of the proposed AutoML solutions to violations of the assumptions mentioned. For example, how would changes in data distribution or quality impact the performance of the winning algorithms?
- Clarify the scope of the claims made in the paper. Given that the challenge focused on a specific set of tasks under controlled conditions, caution should be exercised in generalizing the results to all AutoML scenarios.
- Reflect on the factors that influence the performance of the approach. Given the complexity of AutoML challenges, certain algorithms may perform better under specific conditions (e.g., data size, feature types). This discussion can add depth and context to the limitations section.
- If not already included, the paper should mention the computational efficiency of different AutoML solutions and their scalability, which is crucial for real-world application.

Addressing these points can strengthen the paper by providing a more comprehensive overview of its limitations and ensuring transparency about the work's scope and applicability. This, in turn, supports the integrity of the research and fosters trust within the scientific community.

",0.5
"For each theoretical result, does the paper provide the full set of assumptions and a complete (and correct) proof?",Theoritical assumptions and proofs,Not Applicable,[TODO],"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include theoretical results. 
All the theorems, formulas, and proofs in the paper should be numbered and cross-referenced.
All assumptions should be clearly stated or referenced in the statement of any theorems.
The proofs can either appear in the main paper or the supplemental material, but if they appear in the supplemental material, the authors are encouraged to provide a short proof sketch to provide intuition. 
Inversely, any informal proof provided in the core of the paper should be complemented by formal proofs provided in appendix or supplemental material.
Theorems and Lemmas that the proof relies upon should be properly referenced. 
","The authors' proposed answer is ""NA,"" implying that the paper does not include theoretical results such as theorems, formulas, or proofs. However, an examination of the paper content is necessary to verify this claim accurately. Given the detailed nature of the paper's content focused on the analysis of an AutoML challenge, findings, and discussions on methodologies including heuristic searches, Bayesian optimization, meta-learning, and the effectiveness of ensemble methods, the paper primarily presents empirical results and analysis rather than deriving theoretical results or proofs. Thus, the answer provided by the authors aligns well with the content presented in the paper, as the primary focus is on empirical analysis and summarization of findings from the AutoML challenge, without an explicit focus on developing or proving new theoretical results.

Based on the guidelines provided for authors, if a paper does not include theoretical results, answering ""NA"" to the question regarding the provision of a full set of assumptions and complete proofs is appropriate. The paper is structured to discuss methodologies, empirical findings, and analyses derived from the AutoML challenge, rather than developing or proving theoretical concepts from a mathematical standpoint. It did not delve into theoretical formulations that require assumptions, theorems, or mathematical proofs, thus making ""NA"" a suitable answer. 

Itemized, actionable feedback to improve the paper quality could involve:
1. Clarification within the paper to explicitly state the absence of theoretical results, ensuring readers are aware that the focus is on empirical analysis and insight derived from the AutoML challenge.
2. Providing a section that discusses the implications of the empirical findings on existing theoretical frameworks or a brief discussion on how these findings could inspire future theoretical investigation.
3. Including a disclaimer or a brief paragraph in the methodology or conclusion sections regarding the scope of the paper focusing on empirical results and lessons learned without delving into theoretical proof development.

These improvements can help to set clear expectations for readers regarding the content of the paper and its contributions to the field of AutoML, reinforcing the rationale behind the ""NA"" response to the question about theoretical results and proofs. 

",1
Does the paper fully disclose all the information needed to reproduce the main experimental results of the paper to the extent that it affects the main claims and/or conclusions of the paper (regardless of whether the code and data are provided or not)?,Experiments reproducibility,Yes,"Yes. These details can be found in the provided url in abstract, and information given through the paper.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
If the paper includes experiments, a No answer to this question will not be perceived well by the reviewers: Making the paper reproducible is important, regardless of whether the code and data are provided or not.
If the contribution is a dataset and/or model, the authors should describe the steps taken to make their results reproducible or verifiable. 
Depending on the contribution, reproducibility can be accomplished in various ways. For example, if the contribution is a novel architecture, describing the architecture fully might suffice, or if the contribution is a specific model and empirical evaluation, it may be necessary to either make it possible for others to replicate the model with the same dataset, or provide access to the model. In general. releasing code and data is often one good way to accomplish this, but reproducibility can also be provided via detailed instructions for how to replicate the results, access to a hosted model (e.g., in the case of a large language model), releasing of a model checkpoint, or other means that are appropriate to the research performed.
While NeurIPS does not require releasing code, the conference does require all submissions to provide some reasonable avenue for reproducibility, which may depend on the nature of the contribution. For example
    - If the contribution is primarily a new algorithm, the paper should make it clear how to reproduce that algorithm.
    - If the contribution is primarily a new model architecture, the paper should describe the architecture clearly and fully.
    - If the contribution is a new model (e.g., a large language model), then there should either be a way to access this model for reproducing the results or a way to reproduce the model (e.g., with an open-source dataset or instructions for how to construct the dataset).
    - We recognize that reproducibility may be tricky in some cases, in which case authors are welcome to describe the particular way they provide for reproducibility. In the case of closed-source models, it may be that access to the model is limited in some way (e.g., to registered users), but it should be possible for other researchers to have some path to reproducing or verifying the results.

","The authors' proposed answer indicates that full details necessary for reproducing the main experimental results are disclosed, referencing the paper's content and a provided URL in the abstract. However, the justification doesn't specifically point to the sections where these reproducibility details can be found, which doesn't fully align with the provided guidelines requesting explicit references to sections for related material.

### Actionable Feedback:
1. **Specify Sections for Reproducibility Details:** Revise the justification to include specific section numbers or headings where the reader can find details necessary for reproducing the experiments. This ensures clarity and ease of access to this information.

2. **Clarify External Resource Accessibility:** Confirm the availability and accessibility of the provided URL in the abstract. If this URL hosts code, data, or additional experimental details, explicitly mention what can be found at the URL and how it contributes to the paper's reproducibility.

3. **Detail Experimental Conditions:** Ensure the paper clearly describes the experimental setup, including hardware and software environments, in a dedicated section. This is critical for reproducing results under similar conditions.

4. **Code and Data Release:** If code and data are essential for reproducing the results and have been released, provide clear instructions in the paper for accessing them. Include any requirements or dependencies needed to run the code successfully.

5. **Discuss Any Limitations:** If there are any limitations that might prevent full reproducibility (e.g., proprietary datasets, computational resource requirements), these should be clearly discussed in the paper. Offering alternatives or approximate solutions can be helpful.

6. **Highlight Key Parameters:** Ensure that all hyperparameters and model configurations critical to reproducing the results are thoroughly documented in the paper. This should include both the rationale behind their selection and their specific values.

7. **Address Error Bars Reporting:** If applicable, clarify the decision on error bars reporting, especially in the context of computational expense or other constraints, to align with the guidelines that allow for exceptions with proper justification.

By directly addressing these areas, the paper's alignment with NeurIPS guidelines on reproducibility would be significantly improved, enhancing its utility to readers and future researchers.

**",0.5
"Does the paper provide open access to the data and code, with sufficient instructions to faithfully reproduce the main experimental results, as described in supplemental material?",Code and data accessibility,Yes,"Yes, all necessary code, datasets, and instructions are provided at the URL mentioned in the abstract.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that paper does not include experiments requiring code.
Please see the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
While we encourage the release of code and data, we understand that this might not be possible, so “No” is an acceptable answer. Papers cannot be rejected simply for not including code, unless this is central to the contribution (e.g., for a new open-source benchmark).
The instructions should contain the exact command and environment needed to run to reproduce the results. See the NeurIPS code and data submission guidelines (https://nips.cc/public/guides/CodeSubmissionPolicy) for more details.
The authors should provide instructions on data access and preparation, including how to access the raw data, preprocessed data, intermediate data, and generated data, etc.
The authors should provide scripts to reproduce all experimental results for the new proposed method and baselines. If only a subset of experiments are reproducible, they should state which ones are omitted from the script and why.
At submission time, to preserve anonymity, the authors should release anonymized versions (if applicable).
Providing as much information as possible in supplemental material (appended to the paper) is recommended, but including URLs to data and code is permitted.
","The proposed author's answer and justification appear to closely align with the guidelines provided for NeurIPS conference submissions. However, upon careful examination of the answer and justification against the actual content of the paper, several key points need to be addressed to ensure clarity, completeness, and compliance with the guidelines:

1. **Precise Location of Material**: The authors stated that all necessary material (code, datasets, and instructions) is provided at a URL mentioned in the abstract. According to the guidelines, while mentioning the URL can be helpful, it is crucial to also point out specific sections within the paper where related material for reproduction can be found. Merely pointing to an external URL in the abstract might not suffice for reproducibility if the paper itself does not elaborate on how the experiments can be reproduced based on the provided resources.

2. **Reproducibility Details**: Even though the URL for accessing the code and datasets is stated, the paper should also discuss any prerequisites, environment details (software versions, operating systems, hardware requirements), and exact commands or scripts that are needed to reproduce the results. This is essential to fulfill the reproducibility criteria defined in the guidelines.

3. **Clarity on Reproducible Components**: The authors must clarify if all experimental results presented in the paper can be reproduced with the provided code and datasets. If there are any exceptions (e.g., some results are based on proprietary data or require computational resources that might not be widely accessible), these should be explicitly stated.

### Actionable Feedback:

1. **Section References**: Amend the paper to include references to specific sections discussing the open access of data and code, and the reproducibility of the experiments. If such sections do not exist, they should be created to detail the content and instructions necessary for replication.

2. **Reproducibility Instructions**: Enhance the supplemental material or an appendix within the paper to offer detailed instructions for reproducing the experiments. This includes environment setup, data preparation steps, and execution commands.

3. **Clarify Reproducibility Scope**: Clearly specify which parts of the experimental analysis are reproducible with the provided resources and disclose any limitations, such as experiments needing proprietary datasets or significant computational resources.

4. **External Resources**: Besides providing a URL in the abstract, consider embedding supplementary files or an appendix within the paper submission that contains necessary scripts, with proper anonymization to adhere to the double-blind review process.

5. **Environment Details**: Include detailed information about the software and hardware used for the experiments to assist with the accurate replication of the results. This might involve specifying versions of programming languages, libraries, operating systems, and the computational capacity needed.

Following this feedback to address the noted discrepancies and making the paper more aligned with NeurIPS guidelines will enhance the clarity, completeness, and reproducibility of the research presented. 

**",0.5
"Does the paper specify all the training and test details (e.g., data splits, hyperparameters, how they were chosen, type of optimizer, etc.) necessary to understand the results?",Experimental settings/details,Yes,"These are discussed through the paper, complete details are given in our website with url provided in abstract.","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The experimental setting should be presented in the core of the paper to a level of detail that is necessary to appreciate the results and make sense of them.
The full details can be provided either with the code, in appendix, or as supplemental material.
","The authors' proposed answer asserts that all necessary training and test details are specified within the paper and provides a URL to their website for complete details. However, the justification deviates from the guidelines which require specific sections of the paper to be cited where this information can be found. Since the location within the paper is not specified and the reliance on external sources (website) for complete details does not align with the guidelines, discrepancies are observed.

**Itemized Actionable Feedback:**
1. **Incorporate Essential Details in the Paper**: Include a concise summary of all relevant training and test details within the body of the paper itself. This includes data splits, hyperparameters, the type of optimizer used, etc. If space is a concern, consider adding an appendix or supplemental material that is directly part of the submission.

2. **Direct Citations**: Revise the justification to cite the specific sections or appendices of the paper where these details can be found, in accordance with the guidelines. This helps reviewers and readers to quickly verify the information.

3. **Clarify External References**: While providing a URL for additional resources is helpful, clarify the need for external references in the justification. Explicitly state what information is available online that complements but does not replace the necessary details within the paper. Make sure this supplementary online material is stable and will remain accessible.

4. **Ensure Reproducibility**: Ensure that the information provided, both in the paper and on the website, is sufficient for reproducing the results presented. This includes clear documentation of data processing steps, model configurations, and any software dependencies.

",0.5
Does the paper report error bars suitably and correctly defined or other appropriate information about the statistical significance of the experiments?,Error bars,Yes,The significance of experiments is discussed in footnote 5. Other error bars are included in our website (url given in abstract).,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The authors should answer ""Yes"" if the results are accompanied by error bars, confidence intervals, or statistical significance tests, at least for the experiments that support the main claims of the paper.
The factors of variability that the error bars are capturing should be clearly stated (for example, train/test split, initialization, random drawing of some parameter, or overall run with given experimental conditions).
The method for calculating the error bars should be explained (closed form formula, call to a library function, bootstrap, etc.)
The assumptions made should be given (e.g., Normally distributed errors).
It should be clear whether the error bar is the standard deviation or the standard error of the mean.
It is OK to report 1-sigma error bars, but one should state it. The authors should preferably report a 2-sigma error bar than state that they have a 96% CI, if the hypothesis of Normality of errors is not verified.
For asymmetric distributions, the authors should be careful not to show in tables or figures symmetric error bars that would yield results that are out of range (e.g. negative error rates).
If error bars are reported in tables or plots, The authors should explain in the text how they were calculated and reference the corresponding figures or tables in the text.
","The proposed Answer and Justification provided by the authors do not fully align with the Guidelines and expectations for reporting statistical significance and error bars in the context of the NeurIPS conference. Specifically, the Justification indicates that the significance of experiments is discussed in one part of the manuscript (footnote 5) and refers to external resources (a website) for additional details on error bars. This approach does not comply with the Guidelines that emphasize the need for in-text, comprehensively detailed demonstrations of statistical treatments directly within the manuscript. The Guidelines suggest that details concerning the calculation of error bars, the nature of the error bars (standard deviation or standard error of the mean), the assumptions made, and the factors of variability captured should be clearly stated in the paper.

### Actionable Feedback

1. **Incorporate Error Bars Directly into the Manuscript**: The authors should revise the manuscript to include error bars directly in the main text or as part of the supplementary materials, rather than referring readers to an external website. This will ensure that the statistical significance and variability of the experimental results are readily accessible to readers and reviewers, enhancing the paper's transparency and credibility. 

2. **Clarify the Calculation and Nature of Error Bars**: The manuscript should include a clear description of how the error bars were calculated (e.g., closed-form formula, bootstrap), specifying whether they represent standard deviations, standard errors, or confidence intervals. It is also essential to mention if the hypothesis of normally distributed errors was tested or assumed.

3. **Detail Variability Factors and Assumptions**: Explicitly state the factors of variability that the error bars are capturing, such as differences in train/test splits, model initialization, or parameter settings. Additionally, any assumptions made during the statistical analysis should be clearly outlined to inform readers of the conditions under which the conclusions hold.

4. **Address Asymmetric Distributions**: If the data or errors are asymmetrically distributed, the authors need to ensure that the error bars reported do not suggest implausible values (e.g., negative error rates). If applicable, asymmetric error bars or other suitable statistical representations should be employed and described.

5. **Directly Reference Error Bars in Text**: Ensure that wherever error bars are reported in figures or tables, there is corresponding text in the manuscript that explains what these error bars represent and how they were derived. This will assist readers in accurately interpreting the results.

6. **Revise the Footnote and Abstract References**: The footnote and the abstract mention regarding the statistical significance and error bars should be revised to point directly to the sections where these are elaborated upon, rather than redirecting to external resources.

Implementing these recommendations will ensure that the statistical analyses supporting the paper's claims are transparent, rigorously justified, and self-contained within the manuscript, adhering to the NeurIPS Guidelines and improving the overall quality of the submission.

**",0.5
"For each experiment, does the paper provide sufficient information on the computer resources (type of compute workers, memory, time of execution) needed to reproduce the experiments?",Compute resources,No,"We didn't explicitly give compute resource information, all is given in our website (url provided in abstract).","If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the paper does not include experiments.
The paper should indicate the type of compute workers CPU or GPU, internal cluster, or cloud provider, including relevant memory and storage.
The paper should provide the amount of compute required for each of the individual experimental runs as well as estimate the total compute. 
The paper should disclose whether the full research project required more compute than the experiments reported in the paper (e.g., preliminary or failed experiments that didn't make it into the paper). 
","The authors' proposed answer acknowledges that information regarding computer resources needed to reproduce the experiments is not included directly in the paper. Instead, the authors refer readers to an external website for details. This response, while providing a path to the required information, does not follow the NeurIPS guidelines, which suggest that the paper itself should contain necessary details for reproducibility, including the type of compute workers (CPU/GPU), memory, storage, and computation time estimates.

**Actionable Feedback:**

1. **Include Detailed Compute Information in the Paper:** Directly incorporate a section or a table in the paper detailing the computer resources used for each experiment. Specifically, provide information about the compute workers (CPU/GPU), the specific internal cluster or cloud provider (if applicable), memory, storage, and the execution time for each experimental run. 

2. **Estimate Total Compute:** Offer an estimate of the total compute required for each experimental setup, including preliminary or failed experiments if they consumed significant resources. This will give readers a clearer picture of the computational cost of replicating your results.

3. **Mention Compute in Limitation Section (if applicable):** If applicable, discuss in the limitations section how the computational requirements might limit the reproducibility of your experiments in resource-constrained environments. This reflection can help readers better plan their replication studies.

4. **Justify External Resources (if retaining):** If you decide to retain external links for supplementary information like detailed compute resource configurations, provide a clear justification in the paper. Explain why this approach was chosen and ensure that the external links are stable and likely to remain accessible for a reasonable future period. This could be part of a broader discussion on data and code accessibility.

5. **Clarify Resource Constraints of the AutoML Challenge:** Given that the paper outlines lessons from the AutoML challenge, include a discussion on how the computational limits imposed by the challenge itself (e.g., execution times of less than 20 minutes per dataset) influenced the choice of models and strategies. This provides context to the computational resource information and aligns with the paper’s subject matter.

6. **Document the Reproducibility Effort:** Briefly describe any efforts made to ensure that the experiments are reproducible with the provided compute resources. This might include mentioning any software optimization, code efficiency, or algorithmic adjustments made to fit the computational constraints.

Incorporating this feedback will strengthen the reproducibility of your paper and align it more closely with NeurIPS guidelines and expectations around empirical research. 

**",0.5
"Does the research conducted in the paper conform, in every respect, with the NeurIPS Code of Ethics https://neurips.cc/public/EthicsGuidelines?",NeurIPS code of ethics,Yes,Authors have read the Code of Ethics and confirm the research presented in this paper conforms with it.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that the authors have not reviewed the NeurIPS Code of Ethics.
If the authors answer No, they should explain the special circumstances that require a deviation from the Code of Ethics.
The authors should make sure to preserve anonymity (e.g., if there is a special consideration due to laws or regulations in their jurisdiction).
","The authors' proposed answer and justification, while affirmative, does not precisely point to specific sections within the paper that substantiate adherence to the NeurIPS Code of Ethics. Without specific references to segments that demonstrate compliance with the ethical guidelines, the answer remains too general and lacks the detail needed for thorough verification.

Feedback:

1. **Specify Sections Addressing Ethical Elements**: The authors should explicitly reference sections of the paper that specifically address how the research adheres to the NeurIPS Code of Ethics. This includes demonstrating the responsible use of data, ensuring no harm, consideration for societal impact, and how biases in AutoML challenges have been addressed or mitigated.

2. **Discuss Data Usage and Privacy**: Given the usage of datasets from a variety of sources (e.g., medical diagnostics, credit rating), the paper should elaborate on any privacy and data handling considerations, ensuring compliance with ethical guidelines on data privacy and security.

3. **Highlight Fairness and Bias Mitigation Efforts**: Autonomously created machine learning models can inherit or amplify biases present in the data or algorithms. The paper should detail efforts taken to identify, mitigate, and discuss the potential biases within the AutoML challenge and the solutions proposed.

4. **Address the Societal Impact**: The research should examine the broader societal implications of automating ML tasks, potentially reducing the barrier for ML application but also considering job displacement or misuse. A section dedicated to societal impact could enrich the paper and align it with ethical considerations.

5. **Transparency and Reproducibility**: Given the claim that all code is open-sourced, the paper should emphasize transparency and reproducibility of research results, which is an essential aspect of ethical scientific conduct. Specifically mention how other researchers can access the data, replicate the experiments, and verify the findings.

6. **Include a Limitations Section**: A thoughtful discussion on the limitations of the research, including technical limitations, potential for misuse, and any assumptions that may raise ethical concerns, would demonstrate a responsible approach to AI research.

Ensure that the feedback provided is incorporated into the relevant sections of the manuscript and clearly pointed out in the revised version's response letter to the reviewers.

",0.5
Does the paper discuss both potential positive societal impacts and negative societal impacts of the work performed?,Impacts,Yes,Discussed in introduction.,"If you answer Yes to a question, in the justification please point to the section(s) where related material for the question can be found.
While ""Yes"" is generally preferable to ""No"", it is perfectly acceptable to answer ""No"" provided a proper justification is given (e.g., ""error bars are not reported because it would be too computationally expensive"" or ""we were unable to find the license for the dataset we used"").

The answer NA means that there is no societal impact of the work performed.
If the authors answer NA or No, they should explain why their work has no societal impact or why the paper does not address societal impact.
Examples of negative societal impacts include potential malicious or unintended uses (e.g., disinformation, generating fake profiles, surveillance), fairness considerations (e.g., deployment of technologies that could make decisions that unfairly impact specific groups), privacy considerations, and security considerations.
The conference expects that many papers will be foundational research and not tied to particular applications, let alone deployments. However, if there is a direct path to any negative applications, the authors should point it out. For example, it is legitimate to point out that an improvement in the quality of generative models could be used to generate deepfakes for disinformation. On the other hand, it is not needed to point out that a generic algorithm for optimizing neural networks could enable people to train models that generate Deepfakes faster.
The authors should consider possible harms that could arise when the technology is being used as intended and functioning correctly, harms that could arise when the technology is being used as intended but gives incorrect results, and harms following from (intentional or unintentional) misuse of the technology.
If there are negative societal impacts, the authors could also discuss possible mitigation strategies (e.g., gated release of models, providing defenses in addition to attacks, mechanisms for monitoring misuse, mechanisms to monitor how a system learns from feedback over time, improving the efficiency and accessibility of ML).
","The paper's authors claim that the discussion of both potential positive and negative societal impacts of their work is included in the introduction. However, upon a detailed review of the introduction and other related sections, it becomes clear that while the paper elaborately discusses the potential positive impacts of AutoML, particularly in terms of making machine learning accessible to non-experts and advancing the state of research in the field, it falls short in explicitly discussing the negative societal impacts.

**Actionable Feedback:**

1. **Clearly Outline Negative Impacts:** The authors should explicitly outline potential negative societal impacts of their work, adhering to the conference guidelines. They should consider whether the advancements in AutoML could lead to misuse, such as exacerbating biases in automated decision-making or enabling malicious actors to deploy sophisticated machine learning models with minimal expertise.

2. **In-Depth Discussion on Mitigation Strategies:** After identifying potential negative impacts, the authors should discuss mitigation strategies. This could include recommendations for ethical use guidelines, development of mechanisms to detect and mitigate bias in AutoML-generated models, and suggestions for regulatory oversight specific to automatic machine learning applications.

3. **Refer to Specific Sections:** The authors should ensure that their claim about the discussion of societal impacts points to specific sections within the paper. If the discussion is indeed within the introduction, the referenced sections should be explicitly labeled and detailed to facilitate easy location by readers and reviewers.

4. **Expand the Introduction or Create a Dedicated Section:** Considering the complexity and importance of societal impact discussions, the authors might find it beneficial either to expand the introduction to include a balanced view on both positive and negative impacts or to create a dedicated section for societal impacts. This section should tackle ethical, privacy, and security considerations of AutoML technologies succinctly but comprehensively.

5. **Incorporate Examples or Hypothetical Scenarios:** To make the discussion more relatable and grounded, the authors could incorporate examples or construct hypothetical scenarios illustrating how AutoML could potentially have negative societal impacts. This approach would not only highlight the authors’ understanding and consideration of such impacts but also engage the readers in critical thinking about future implications.

6. **Engage with Current Research on Societal Impacts:** The paper should engage with current research and discussions on the societal impacts of AI and machine learning technologies. Citing studies that have investigated similar issues could add depth to the discussion and embed the paper within ongoing scholarly conversations about responsible AI development.

By implementing these changes, the paper would not only adhere more closely to the conference guidelines but also contribute meaningfully to the discourse on the societal implications of machine learning advancements.

**",0.5
